Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"14,072",0,"5,674","19,746","6,755",0,"5,568","12,323","7,317",0,106,"7,423",62.40%,48.00%,-,98.10%,"3,010",0,0,"3,010",770,"3,780","2,261","1,326"
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"6,245","1,143",127,"7,515","3,739","1,143",127,"5,009","2,506",0,0,"2,506",66.70%,59.90%,100.00%,100.00%,"1,495",0,0,"1,495",172,"1,667",689,272
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,833",255,0,"7,088","4,421",255,0,"4,676","2,412",0,0,"2,412",66.00%,64.70%,100.00%,-,"1,673",0,0,"1,673",585,"2,258",656,139
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,746",0,0,"9,746","6,643",0,0,"6,643","3,103",0,0,"3,103",68.20%,68.20%,-,-,"3,451",0,0,"3,451",580,"4,031",422,0
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,468","1,031","3,244","13,743","7,203","1,031","3,244","11,478","2,265",0,0,"2,265",83.50%,76.10%,100.00%,100.00%,"2,547",0,14,"2,561","1,407","3,968",706,113
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,696","3,696",0,0,"3,323","3,323",0,0,373,373,89.90%,-,-,89.90%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,455","1,455",0,0,"1,422","1,422",0,0,33,33,97.70%,-,-,97.70%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"16,644",0,0,"16,644","13,786",0,0,"13,786","2,858",0,0,"2,858",82.80%,82.80%,-,-,"3,066",0,0,"3,066",189,"3,255",982,7
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"13,410",0,"11,477","24,887","7,790",0,"11,477","19,267","5,620",0,0,"5,620",77.40%,58.10%,-,100.00%,"4,561",0,0,"4,561",777,"5,338","2,297",19
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"14,193",0,"3,954","18,147","8,637",0,"3,953","12,590","5,556",0,1,"5,557",69.40%,60.90%,-,100.00%,"3,900",0,392,"4,292","1,019","5,311","1,425",142
