Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RAL,NHS England London,Royal Free London NHS Foundation Trust,"25,841",576,"16,515","42,932","17,136",566,"15,750","33,452","8,705",10,765,"9,480",77.90%,66.30%,98.30%,95.40%,"6,243",2,106,"6,351",730,"7,081","2,872","1,691"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,37,37,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"9,094",0,"4,126","13,220","6,618",0,"3,976","10,594","2,476",0,150,"2,626",80.10%,72.80%,-,96.40%,"2,744",0,0,"2,744",811,"3,555","1,213",694
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,813",0,"6,820","12,633","3,239",0,"6,695","9,934","2,574",0,125,"2,699",78.60%,55.70%,-,98.20%,"2,228",0,0,"2,228",77,"2,305",357,33
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,822,822,0,0,822,822,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"13,841",0,0,"13,841","10,231",0,0,"10,231","3,610",0,0,"3,610",73.90%,73.90%,-,-,"1,460",0,0,"1,460",257,"1,717",307,55
Y02147,NHS England London,Urgent Care Centre (Qms),0,0,"8,388","8,388",0,0,"8,257","8,257",0,0,131,131,98.40%,-,-,98.40%,0,0,0,0,0,0,0,0
RKE,NHS England London,Whittington Health NHS Trust,"9,127",0,0,"9,127","6,682",0,0,"6,682","2,445",0,0,"2,445",73.20%,73.20%,-,-,"1,304",0,0,"1,304",27,"1,331",374,140
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"2,863","2,863",0,0,"2,863","2,863",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,988,988,0,0,988,988,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"4,831",0,0,"4,831","4,040",0,0,"4,040",791,0,0,791,83.60%,83.60%,-,-,507,0,0,507,219,726,11,2
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"7,372",0,"6,227","13,599","3,223",0,"5,733","8,956","4,149",0,494,"4,643",65.90%,43.70%,-,92.10%,"2,176",0,145,"2,321",212,"2,533",642,78
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,11,11,67,78,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"9,626","9,626",0,0,"9,372","9,372",0,0,254,254,97.40%,-,-,97.40%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"1,914","1,914",0,0,"1,913","1,913",0,0,1,1,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"1,230","1,230",0,0,"1,230","1,230",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"6,939",0,"1,693","8,632","4,373",0,"1,629","6,002","2,566",0,64,"2,630",69.50%,63.00%,-,96.20%,"1,028",0,0,"1,028",0,"1,028",745,484
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"10,225",0,"8,172","18,397","6,552",0,"8,037","14,589","3,673",0,135,"3,808",79.30%,64.10%,-,98.30%,"1,936",0,0,"1,936",244,"2,180","1,280",556
