Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,"9,963",0,"13,656","23,619","7,709",0,"13,649","21,358","2,254",0,7,"2,261",90.40%,77.40%,-,99.90%,"4,100",0,14,"4,114",443,"4,557",14,0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,"4,929",0,347,"5,276","4,483",0,347,"4,830",446,0,0,446,91.50%,91.00%,-,100.00%,"1,007",0,0,"1,007",80,"1,087",14,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,"9,232","1,074","9,157","19,463","4,452","1,074","8,906","14,432","4,780",0,251,"5,031",74.20%,48.20%,100.00%,97.30%,"3,567",0,0,"3,567","3,036","6,603",874,9
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,"7,284",0,"11,631","18,915","3,587",0,"10,982","14,569","3,697",0,649,"4,346",77.00%,49.20%,-,94.40%,"2,651",0,111,"2,762","2,348","5,110",304,6
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,"11,811","1,191","7,565","20,567","6,564","1,163","7,301","15,028","5,247",28,264,"5,539",73.10%,55.60%,97.60%,96.50%,"4,357",17,0,"4,374","1,468","5,842",709,12
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,127,127,0,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,"12,515","1,701","7,572","21,788","8,387","1,493","7,572","17,452","4,128",208,0,"4,336",80.10%,67.00%,87.80%,100.00%,"3,731",23,0,"3,754","2,834","6,588",471,26
RFR,NHS England North East And Yorkshire ,The Rotherham NHS Foundation Trust,"9,248",0,0,"9,248","6,345",0,0,"6,345","2,903",0,0,"2,903",68.60%,68.60%,-,-,"2,085",0,0,"2,085",254,"2,339",358,1
AJN,NHS England North East And Yorkshire ,Workington Health Limited,0,0,442,442,0,0,442,442,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RCB,NHS England North East And Yorkshire ,York And Scarborough Teaching Hospitals NHS Foundation Trust,"10,790",327,"7,601","18,718","5,222",327,"7,298","12,847","5,568",0,303,"5,871",68.60%,48.40%,100.00%,96.00%,"4,997",0,0,"4,997","1,556","6,553","1,259",445
