Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"12,997","2,301","5,819","21,117","7,447","2,220","5,632","15,299","5,550",81,187,"5,818",72.40%,57.30%,96.50%,96.80%,"1,290",41,37,"1,368",283,"1,651",66,14
RTG,NHS England Midlands ,University Hospitals Of Derby And Burton NHS Foundation Trust,"21,968",0,"9,545","31,513","11,617",0,"9,417","21,034","10,351",0,128,"10,479",66.70%,52.90%,-,98.70%,"4,263",0,1,"4,264","1,985","6,249","2,054",770
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,"22,050","1,909",0,"23,959","13,983","1,763",0,"15,746","8,067",146,0,"8,213",65.70%,63.40%,92.40%,-,"7,096",6,0,"7,102","3,658","10,760","1,790",520
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,"14,874",471,"8,794","24,139","6,680",471,"8,384","15,535","8,194",0,410,"8,604",64.40%,44.90%,100.00%,95.30%,"4,924",0,0,"4,924","1,235","6,159","2,070","1,035"
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,"10,030",0,"4,027","14,057","6,155",0,"3,912","10,067","3,875",0,115,"3,990",71.60%,61.40%,-,97.10%,"4,026",0,0,"4,026",817,"4,843","1,542",620
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,"13,727",0,"4,602","18,329","6,466",0,"4,518","10,984","7,261",0,84,"7,345",59.90%,47.10%,-,98.20%,"3,428",0,0,"3,428",779,"4,207","2,224","1,035"
RLQ,NHS England Midlands ,Wye Valley NHS Trust,"5,987",920,130,"7,037","3,541",920,130,"4,591","2,446",0,0,"2,446",65.20%,59.10%,100.00%,100.00%,"1,487",0,0,"1,487",134,"1,621",602,202
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,"6,357",239,0,"6,596","4,162",239,0,"4,401","2,195",0,0,"2,195",66.70%,65.50%,100.00%,-,"1,637",0,0,"1,637",611,"2,248",756,239
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,"9,286",0,0,"9,286","6,455",0,0,"6,455","2,831",0,0,"2,831",69.50%,69.50%,-,-,"3,239",0,0,"3,239",546,"3,785",612,11
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,"9,699",956,"3,082","13,737","7,304",956,"3,082","11,342","2,395",0,0,"2,395",82.60%,75.30%,100.00%,100.00%,"2,609",0,17,"2,626","1,410","4,036",749,50
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,"3,846","3,846",0,0,"3,321","3,321",0,0,525,525,86.30%,-,-,86.30%,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,"1,526","1,526",0,0,"1,464","1,464",0,0,62,62,95.90%,-,-,95.90%,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,"15,746",0,0,"15,746","12,722",0,0,"12,722","3,024",0,0,"3,024",80.80%,80.80%,-,-,"3,114",0,0,"3,114",180,"3,294","1,200",56
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,"12,861",0,"11,936","24,797","7,278",0,"11,936","19,214","5,583",0,0,"5,583",77.50%,56.60%,-,100.00%,"4,461",0,0,"4,461",876,"5,337","2,011",30
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,"13,497",0,"3,778","17,275","8,159",0,"3,778","11,937","5,338",0,0,"5,338",69.10%,60.50%,-,100.00%,"3,719",0,422,"4,141","1,122","5,263","1,481",235
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,"3,038","3,038",0,0,"2,826","2,826",0,0,212,212,93.00%,-,-,93.00%,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,"6,266",0,"4,202","10,468","3,463",0,"4,175","7,638","2,803",0,27,"2,830",73.00%,55.30%,-,99.40%,"1,831",0,0,"1,831",52,"1,883",886,2
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,"1,790","1,790",0,0,"1,785","1,785",0,0,5,5,99.70%,-,-,99.70%,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,"5,566",0,"1,370","6,936","3,675",0,"1,370","5,045","1,891",0,0,"1,891",72.70%,66.00%,-,100.00%,"1,226",0,0,"1,226",293,"1,519",165,6
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,"10,230",0,"4,228","14,458","4,822",0,"3,872","8,694","5,408",0,356,"5,764",60.10%,47.10%,-,91.60%,"3,928",0,0,"3,928","2,264","6,192","1,588",635
