Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"9,778",640,"1,775","12,193","5,972",618,"1,760","8,350","3,806",22,15,"3,843",68.50%,61.10%,96.60%,99.20%,"2,210",0,0,"2,210",448,"2,658","1,205",856
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"11,557","1,728","8,695","21,980","4,781","1,525","7,652","13,958","6,776",203,"1,043","8,022",63.50%,41.40%,88.30%,88.00%,"3,075",0,"1,270","4,345","3,948","8,293","1,213","1,066"
NNJ14,NHS England Midlands ,Oadby,0,0,"2,693","2,693",0,0,"2,681","2,681",0,0,12,12,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,413,413,0,0,412,412,0,0,1,1,99.80%,-,-,99.80%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"10,966","1,085","7,702","19,753","5,636",919,"7,564","14,119","5,330",166,138,"5,634",71.50%,51.40%,84.70%,98.20%,"2,292",0,37,"2,329",96,"2,425","1,159",448
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"10,460",0,"4,919","15,379","6,484",0,"4,543","11,027","3,976",0,376,"4,352",71.70%,62.00%,-,92.40%,"3,533",0,0,"3,533",287,"3,820","1,208",365
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"2,843","2,843",0,0,"2,830","2,830",0,0,13,13,99.50%,-,-,99.50%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,506,506,0,0,506,506,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,1,1,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"3,764","3,764",0,0,"3,764","3,764",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"7,535",0,328,"7,863","5,400",0,328,"5,728","2,135",0,0,"2,135",72.80%,71.70%,-,100.00%,"1,636",0,0,"1,636",633,"2,269",595,87
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"2,795","2,795",0,0,"2,795","2,795",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"8,946",0,"4,459","13,405","5,883",0,"4,397","10,280","3,063",0,62,"3,125",76.70%,65.80%,-,98.60%,"3,265",0,0,"3,265","2,497","5,762","2,623",178
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,34,34,0,0
RL4,NHS England Midlands ,The Royal Wolverhampton NHS Trust,"10,509","1,388","6,737","18,634","6,840","1,334","6,590","14,764","3,669",54,147,"3,870",79.20%,65.10%,96.10%,97.80%,"2,387",0,39,"2,426","4,004","6,430","1,359",511
RXW,NHS England Midlands ,The Shrewsbury And Telford Hospital NHS Trust,"9,920",0,"2,355","12,275","4,358",0,"2,010","6,368","5,562",0,345,"5,907",51.90%,43.90%,-,85.40%,"3,299",0,161,"3,460","1,986","5,446","1,841","1,366"
RWD,NHS England Midlands ,United Lincolnshire Teaching Hospitals NHS Trust,"16,500",0,"4,132","20,632","9,799",0,"3,833","13,632","6,701",0,299,"7,000",66.10%,59.40%,-,92.80%,"4,575",0,0,"4,575","1,222","5,797","1,877","1,296"
RRK,NHS England Midlands ,University Hospitals Birmingham NHS Foundation Trust,"30,640",298,"3,013","33,951","17,820",298,"2,971","21,089","12,820",0,42,"12,862",62.10%,58.20%,100.00%,98.60%,"9,296",0,0,"9,296","7,490","16,786","4,161","1,923"
RKB,NHS England Midlands ,University Hospitals Coventry And Warwickshire NHS Trust,"11,365","2,426","5,403","19,194","6,568","2,342","5,316","14,226","4,797",84,87,"4,968",74.10%,57.80%,96.50%,98.40%,871,42,36,949,340,"1,289",64,14
