Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
NNJ11,NHS England Midlands ,Lutterworth Hospital,0,0,299,299,0,0,299,299,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,488,488,0,0,488,488,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,243,243,0,0,243,243,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,400,400,0,0,400,400,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"11,112",660,"2,110","13,882","7,659",647,"2,108","10,414","3,453",13,2,"3,468",75.00%,68.90%,98.00%,99.90%,"2,621",0,0,"2,621",509,"3,130","1,197",767
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"13,228","2,003","10,175","25,406","5,906","1,829","8,979","16,714","7,322",174,"1,196","8,692",65.80%,44.60%,91.30%,88.20%,"2,820",0,"1,987","4,807","4,332","9,139","1,314","1,200"
NNJ14,NHS England Midlands ,Oadby,0,0,"3,115","3,115",0,0,"3,085","3,085",0,0,30,30,99.00%,-,-,99.00%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,774,774,0,0,774,774,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"11,950","1,179","8,388","21,517","6,829","1,019","8,346","16,194","5,121",160,42,"5,323",75.30%,57.10%,86.40%,99.50%,"2,586",0,45,"2,631",57,"2,688","1,290",612
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"11,782",0,"5,785","17,567","8,234",0,"5,390","13,624","3,548",0,395,"3,943",77.60%,69.90%,-,93.20%,"3,787",0,0,"3,787",280,"4,067","1,005",277
