Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,872,872,0,0,872,872,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"14,321",0,0,"14,321","10,685",0,0,"10,685","3,636",0,0,"3,636",74.60%,74.60%,-,-,"1,550",0,0,"1,550",281,"1,831",265,49
Y02147,NHS England London,Urgent Care Centre (Qms),0,0,"8,450","8,450",0,0,"8,345","8,345",0,0,105,105,98.80%,-,-,98.80%,0,0,0,0,0,0,0,0
RKE,NHS England London,Whittington Health NHS Trust,"9,104",0,0,"9,104","6,809",0,0,"6,809","2,295",0,0,"2,295",74.80%,74.80%,-,-,"1,326",0,0,"1,326",37,"1,363",490,200
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"2,863","2,863",0,0,"2,863","2,863",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"1,013","1,013",0,0,"1,013","1,013",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"4,358",0,0,"4,358","3,793",0,0,"3,793",565,0,0,565,87.00%,87.00%,-,-,533,0,0,533,198,731,6,0
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"7,546",0,"6,166","13,712","4,055",0,"5,843","9,898","3,491",0,323,"3,814",72.20%,53.70%,-,94.80%,"2,293",0,123,"2,416",200,"2,616",673,100
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,8,8,75,83,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"9,585","9,585",0,0,"9,295","9,295",0,0,290,290,97.00%,-,-,97.00%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"1,872","1,872",0,0,"1,872","1,872",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"1,104","1,104",0,0,"1,104","1,104",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
