Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RAL,NHS England London,Royal Free London NHS Foundation Trust,"24,420",499,"14,087","39,006","16,642",492,"13,644","30,778","7,778",7,443,"8,228",78.90%,68.10%,98.60%,96.90%,"6,860",2,85,"6,947",718,"7,665","2,945","1,704"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"8,671",0,"3,711","12,382","6,115",0,"3,584","9,699","2,556",0,127,"2,683",78.30%,70.50%,-,96.60%,"2,571",0,0,"2,571",774,"3,345",905,498
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,574",0,"6,493","12,067","3,447",0,"6,429","9,876","2,127",0,64,"2,191",81.80%,61.80%,-,99.00%,"2,226",0,0,"2,226",77,"2,303",189,8
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,998,998,0,0,998,998,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"13,266",0,0,"13,266","9,885",0,0,"9,885","3,381",0,0,"3,381",74.50%,74.50%,-,-,"1,451",0,0,"1,451",241,"1,692",371,72
Y02147,NHS England London,Urgent Care Centre (Qms),0,0,"7,973","7,973",0,0,"7,856","7,856",0,0,117,117,98.50%,-,-,98.50%,0,0,0,0,0,0,0,0
RKE,NHS England London,Whittington Health NHS Trust,"8,361",0,0,"8,361","5,952",0,0,"5,952","2,409",0,0,"2,409",71.20%,71.20%,-,-,"1,255",0,0,"1,255",16,"1,271",372,137
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"3,085","3,085",0,0,"3,085","3,085",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"1,003","1,003",0,0,"1,003","1,003",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"3,491",0,0,"3,491","3,336",0,0,"3,336",155,0,0,155,95.60%,95.60%,-,-,498,0,0,498,181,679,8,1
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"7,200",0,"6,457","13,657","3,362",0,"6,132","9,494","3,838",0,325,"4,163",69.50%,46.70%,-,95.00%,"2,191",0,97,"2,288",182,"2,470",879,141
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,9,9,91,100,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"9,029","9,029",0,0,"8,785","8,785",0,0,244,244,97.30%,-,-,97.30%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"1,904","1,904",0,0,"1,903","1,903",0,0,1,1,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"1,149","1,149",0,0,"1,149","1,149",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"6,371",0,"1,621","7,992","4,196",0,"1,572","5,768","2,175",0,49,"2,224",72.20%,65.90%,-,97.00%,993,0,0,993,0,993,710,441
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"9,849",0,"7,752","17,601","6,433",0,"7,673","14,106","3,416",0,79,"3,495",80.10%,65.30%,-,99.00%,"1,829",0,0,"1,829",217,"2,046","1,158",626
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,400,400,0,0,400,400,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"9,050","9,050",0,0,"8,785","8,785",0,0,265,265,97.10%,-,-,97.10%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"4,108","4,108",0,0,"4,108","4,108",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"7,441","7,441",0,0,"7,402","7,402",0,0,39,39,99.50%,-,-,99.50%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,539,539,0,0,539,539,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,306,306,0,0,306,306,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,459,459,0,0,459,459,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
