Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,428",0,"6,679","12,107","2,718",0,"6,653","9,371","2,710",0,26,"2,736",77.40%,50.10%,-,99.60%,"1,818",0,0,"1,818",68,"1,886",656,34
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,897,897,0,0,897,897,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"13,778",0,0,"13,778","9,522",0,0,"9,522","4,256",0,0,"4,256",69.10%,69.10%,-,-,"1,416",0,0,"1,416",274,"1,690",711,317
RKE,NHS England London,Whittington Health NHS Trust,"9,222",0,0,"9,222","6,352",0,0,"6,352","2,870",0,0,"2,870",68.90%,68.90%,-,-,"1,358",0,0,"1,358",25,"1,383",555,376
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"3,237","3,237",0,0,"3,237","3,237",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"1,969","1,969",0,0,"1,969","1,969",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"4,501",0,0,"4,501","3,492",0,0,"3,492","1,009",0,0,"1,009",77.60%,77.60%,-,-,688,0,0,688,225,913,37,4
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"6,619",0,"5,865","12,484","1,917",0,"5,811","7,728","4,702",0,54,"4,756",61.90%,29.00%,-,99.10%,"2,042",0,15,"2,057",143,"2,200","1,395",628
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,24,24,75,99,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"8,562","8,562",0,0,"8,323","8,323",0,0,239,239,97.20%,-,-,97.20%,0,0,0,0,0,0,0,0
