Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RAL,NHS England London,Royal Free London NHS Foundation Trust,"27,405",497,"15,951","43,853","18,103",490,"15,087","33,680","9,302",7,864,"10,173",76.80%,66.10%,98.60%,94.60%,"6,292",0,124,"6,416",814,"7,230","3,010","2,065"
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,27,27,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,"9,406",0,"3,807","13,213","6,863",0,"3,742","10,605","2,543",0,65,"2,608",80.30%,73.00%,-,98.30%,"1,995",0,0,"1,995",535,"2,530","1,020",625
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,"5,129",0,"6,657","11,786","2,670",0,"6,643","9,313","2,459",0,14,"2,473",79.00%,52.10%,-,99.80%,"1,651",0,0,"1,651",54,"1,705",662,37
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,918,918,0,0,918,918,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,"14,277",0,0,"14,277","10,056",0,0,"10,056","4,221",0,0,"4,221",70.40%,70.40%,-,-,"1,486",0,0,"1,486",297,"1,783",796,292
RKE,NHS England London,Whittington Health NHS Trust,"9,340",0,0,"9,340","6,760",0,0,"6,760","2,580",0,0,"2,580",72.40%,72.40%,-,-,"1,443",0,0,"1,443",16,"1,459",582,317
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,"3,460","3,460",0,0,"3,460","3,460",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,"2,041","2,041",0,0,"2,041","2,041",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,"5,568",0,0,"5,568","4,104",0,0,"4,104","1,464",0,0,"1,464",73.70%,73.70%,-,-,661,0,0,661,223,884,23,0
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,"7,500",0,"6,047","13,547","3,471",0,"5,853","9,324","4,029",0,194,"4,223",68.80%,46.30%,-,96.80%,"2,068",0,19,"2,087",174,"2,261","1,011",325
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,5,5,76,81,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,"8,390","8,390",0,0,"7,958","7,958",0,0,432,432,94.90%,-,-,94.90%,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,"2,137","2,137",0,0,"2,135","2,135",0,0,2,2,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,"2,203","2,203",0,0,"2,203","2,203",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,"7,200",0,"1,649","8,849","5,337",0,"1,648","6,985","1,863",0,1,"1,864",78.90%,74.10%,-,99.90%,"1,119",0,0,"1,119",0,"1,119",746,417
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,"10,557",0,"8,645","19,202","6,874",0,"8,605","15,479","3,683",0,40,"3,723",80.60%,65.10%,-,99.50%,"1,709",0,0,"1,709",313,"2,022","1,088",553
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,299,299,0,0,299,299,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,"7,788","7,788",0,0,"7,660","7,660",0,0,128,128,98.40%,-,-,98.40%,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,"2,937","2,937",0,0,"2,935","2,935",0,0,2,2,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,"7,515","7,515",0,0,"7,417","7,417",0,0,98,98,98.70%,-,-,98.70%,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,626,626,0,0,626,626,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,311,311,0,0,311,311,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,540,540,0,0,538,538,0,0,2,2,99.60%,-,-,99.60%,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,"10,425",814,"2,058","13,297","6,425",792,"1,926","9,143","4,000",22,132,"4,154",68.80%,61.60%,97.30%,93.60%,"2,286",0,0,"2,286",509,"2,795","1,136",669
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,"13,016","2,023","9,154","24,193","5,565","1,889","8,105","15,559","7,451",134,"1,049","8,634",64.30%,42.80%,93.40%,88.50%,"3,365",0,826,"4,191","4,029","8,220",652,495
NNJ14,NHS England Midlands ,Oadby,0,0,"3,275","3,275",0,0,"3,257","3,257",0,0,18,18,99.50%,-,-,99.50%,0,0,0,0,0,0,0,0
NNJ15,NHS England Midlands ,Oakham,0,0,775,775,0,0,774,774,0,0,1,1,99.90%,-,-,99.90%,0,0,0,0,0,0,0,0
RXK,NHS England Midlands ,Sandwell And West Birmingham Hospitals NHS Trust,"12,352","1,067","8,726","22,145","6,485",922,"8,447","15,854","5,867",145,279,"6,291",71.60%,52.50%,86.40%,96.80%,"2,712",0,0,"2,712",69,"2,781","1,081",386
RK5,NHS England Midlands ,Sherwood Forest Hospitals NHS Foundation Trust,"11,050",0,"5,840","16,890","6,070",0,"5,289","11,359","4,980",0,551,"5,531",67.30%,54.90%,-,90.60%,"3,651",0,0,"3,651",298,"3,949","1,298",484
R1D,NHS England Midlands ,Shropshire Community Health NHS Trust,0,0,"2,838","2,838",0,0,"2,823","2,823",0,0,15,15,99.50%,-,-,99.50%,0,0,0,0,0,0,0,0
C83023,NHS England Midlands ,Sleaford Medical Group,0,0,591,591,0,0,591,591,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,5,5,0,0
Y02615,NHS England Midlands ,South Birmingham GP Walk In Centre,0,0,"4,290","4,290",0,0,"4,290","4,290",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RJC,NHS England Midlands ,South Warwickshire University NHS Foundation Trust,"8,531",0,369,"8,900","6,270",0,369,"6,639","2,261",0,0,"2,261",74.60%,73.50%,-,100.00%,"1,870",0,0,"1,870",466,"2,336",439,64
NQTE4,NHS England Midlands ,Summerfield Urgent Care Centre,0,0,"2,981","2,981",0,0,"2,981","2,981",0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
RNA,NHS England Midlands ,The Dudley Group NHS Foundation Trust,"9,954",0,"5,071","15,025","6,393",0,"4,986","11,379","3,561",0,85,"3,646",75.70%,64.20%,-,98.30%,"3,504",0,0,"3,504","2,535","6,039","2,819",155
RL1,NHS England Midlands ,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,48,48,0,0
