Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Teaching NHS Trust,"16,761",110,"6,431","23,302","10,636",110,"6,281","17,027","6,125",0,150,"6,275",73.10%,63.50%,100.00%,97.70%,"3,542",0,167,"3,709",923,"4,632","1,787",76
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,"8,893",0,"1,997","10,890","4,839",0,"1,988","6,827","4,054",0,9,"4,063",62.70%,54.40%,-,99.50%,"2,219",0,0,"2,219",370,"2,589",924,277
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,"4,801",0,"11,009","15,810","2,227",0,"10,956","13,183","2,574",0,53,"2,627",83.40%,46.40%,-,99.50%,"1,645",0,432,"2,077","2,305","4,382",247,26
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,"9,382",0,"7,464","16,846","4,551",0,"7,420","11,971","4,831",0,44,"4,875",71.10%,48.50%,-,99.40%,"5,612",0,0,"5,612",403,"6,015","1,434",689
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,"10,222",0,"13,360","23,582","7,638",0,"13,356","20,994","2,584",0,4,"2,588",89.00%,74.70%,-,100.00%,"4,175",0,20,"4,195",450,"4,645",18,0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,"4,398",0,345,"4,743","4,118",0,345,"4,463",280,0,0,280,94.10%,93.60%,-,100.00%,918,0,0,918,76,994,14,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,"9,145","1,245","8,521","18,911","4,449","1,167","8,088","13,704","4,696",78,433,"5,207",72.50%,48.60%,93.70%,94.90%,"3,039",0,0,"3,039","3,680","6,719","1,153",7
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,"7,342",0,"11,006","18,348","3,424",0,"10,631","14,055","3,918",0,375,"4,293",76.60%,46.60%,-,96.60%,"2,310",0,392,"2,702","2,272","4,974",376,28
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,"11,738","1,264","6,863","19,865","6,530","1,246","6,663","14,439","5,208",18,200,"5,426",72.70%,55.60%,98.60%,97.10%,"4,289",28,0,"4,317","1,556","5,873",653,3
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,128,128,0,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,"12,773","1,735","7,312","21,820","7,610","1,656","7,312","16,578","5,163",79,0,"5,242",76.00%,59.60%,95.40%,100.00%,"3,792",20,0,"3,812","2,882","6,694",553,12
RFR,NHS England North East And Yorkshire ,The Rotherham NHS Foundation Trust,"8,932",0,0,"8,932","6,382",0,0,"6,382","2,550",0,0,"2,550",71.50%,71.50%,-,-,"1,698",0,0,"1,698",529,"2,227",402,1
AJN,NHS England North East And Yorkshire ,Workington Health Limited,0,0,392,392,0,0,392,392,0,0,0,0,100.00%,-,-,100.00%,0,0,0,0,0,0,0,0
